词语,拼音,频序号,页码
谙练,ānliàn,56337,2
谙熟,ānshú,37298,2
鹌鹑,ānchún,29700,2
鞍马,ānmǎ,26379,2
鞍马劳顿,ānmǎ-láodùn,49328,2
鞍前马后,ānqián-mǎhòu,45001,2
鞍子,ānzi,39188,2
俺,ǎn,2678,2
埯,ǎn,52436,2
岸,àn,4694,2
岸基,ànjī,39720,2
岸然,ànrán,51207,2
按,àn,279,2
按兵不动,ànbīng-bùdòng,27394,2
按部就班,ànbù-jiùbān,25523,2
按键,ànjiàn,32798,2
按揭,ànjiē,23350,2
按金,ànjīn,49222,2
按理,ànlǐ,31222,2
按例,ànlì,49720,2
按脉,ànmài,52880,2
按摩,ànmó,10317,2
按捺,ànnà,26294,2
按钮,ànniǔ,19095,2
按期,ànqī,12857,2
按时,ànshí,5704,2
按说,ànshuō,19594,2
按图索骥,àntú-suǒjì,39815,2
按压,ànyā,37662,2
按语,ànyǔ,35411,2
按照,ànzhào,634,2
案,àn,1109,2
案板,ànbǎn,29391,2
案底,àndǐ,35388,2
案牍,àndú,49329,2
案发,ànfā,14106,2
案犯,ànfàn,20408,2
案件,ànjiàn,1462,2
案卷,ànjuàn,23456,2
案例,ànlì,7234,2
案情,ànqíng,11402,2
